,time,high,low,open,volume,volumeto,close,conversionType,conversionSymbol,Date,Sentiment,BMSB,SMA,RSI,OBV
0,1451606400,437.95,425.86,429.95,46973.12,20334286.58,433.99,direct,,2016-01-01,0.425319565,0.0,0.0,0.0,0.0
1,1451692800,437.43,430.73,433.99,33570.39,14566820.95,433.72,direct,,2016-01-02,0.459507654,0.0,0.0,0.0,-33570.39
2,1451779200,434.14,423.09,433.72,54826.26,23490162.61,430.7,direct,,2016-01-03,0.431088194,0.0,0.0,0.0,-88396.65
3,1451865600,435.26,428.6,430.7,53007.87,22943968.22,433.32,direct,,2016-01-04,0.383137351,0.0,0.0,46.31354900386896,-35388.77999999999
4,1451952000,435.25,428.87,433.32,45029.87,19499588.99,431.2,direct,,2016-01-05,0.368908651,0.0,0.0,32.99677978207299,-80418.65
5,1452038400,432.11,425.0,431.2,43432.03,18702334.67,430.82,direct,,2016-01-06,0.43275929,0.0,0.0,31.261638028526704,-123850.68
6,1452124800,457.54,428.52,430.82,130197.44,58253615.03,457.05,direct,,2016-01-07,0.415226844,0.0,0.0,85.99740755357276,6346.760000000009
7,1452211200,462.92,446.51,457.05,91304.61,41594025.32,452.87,direct,,2016-01-08,0.362256718,0.0,0.0,75.65812721573595,-84957.84999999999
8,1452297600,454.55,444.9,452.87,39809.95,17967113.95,448.31,direct,,2016-01-09,0.472331051,0.0,0.0,66.29428122661315,-124767.79999999999
9,1452384000,448.88,438.62,448.31,44457.28,19778456.68,446.19,direct,,2016-01-10,0.32558989,0.0,0.0,62.42598452715769,-169225.08
10,1452470400,451.08,441.77,446.19,56587.4,25358480.83,447.72,direct,,2016-01-11,0.364437124,0.0,0.0,64.05606693701588,-112637.68
11,1452556800,448.41,443.14,447.72,44585.93,19913400.66,445.04,direct,,2016-01-12,0.369207523,0.0,0.0,59.21045741763191,-157223.61
12,1452643200,443.72,420.39,445.04,92040.06,39525195.32,432.18,direct,,2016-01-13,0.383306701,0.0,0.0,42.569520871599345,-249263.66999999998
13,1452729600,433.74,427.01,432.18,46172.51,19948730.59,429.13,direct,,2016-01-14,0.347531581,0.0,0.0,39.71840601229327,-295436.18
