,time,high,low,open,volume,volumeto,close,conversionType,conversionSymbol,Date,Sentiment,BMSB,SMA,RSI
0,1478908800,717.37,701.08,714.97,27601.81,19677656.63,704.27,direct,,2016-11-12,0.1330373,0.0,0.0,0.0
1,1478995200,705.61,685.01,704.27,36136.74,25249834.8,701.97,direct,,2016-11-13,0.2373661,0.0,0.0,0.0
2,1479081600,708.03,696.11,701.97,37752.31,26613445.03,704.56,direct,,2016-11-14,0.2340721,0.0,0.0,54.80652962515086
3,1479168000,716.93,697.91,704.56,41401.17,29562740.26,711.1,direct,,2016-11-15,0.2363111,0.0,0.0,81.85273026070098
4,1479254400,745.98,708.14,711.1,79569.14,58304902.39,740.28,direct,,2016-11-16,0.1945752,0.0,0.0,95.31751321041185
5,1479340800,751.91,730.08,740.28,62772.48,46942756.4,737.53,direct,,2016-11-17,0.1838326,0.0,0.0,88.64235679825096
6,1479427200,751.43,730.95,737.53,39708.18,29666065.54,746.96,direct,,2016-11-18,0.1319898,0.0,0.0,90.97607281907416
7,1479513600,755.34,737.44,746.96,25625.82,19276573.28,747.89,direct,,2016-11-19,0.1287813,0.0,0.0,91.16879673282504
8,1479600000,752.26,712.77,747.89,47423.27,34876785.19,728.51,direct,,2016-11-20,0.1595928,0.0,0.0,61.6302345162112
9,1479686400,744.33,726.55,728.51,32508.2,24010681.87,736.19,direct,,2016-11-21,0.2480272,0.0,0.0,66.2912251326552
10,1479772800,754.01,730.62,736.19,44441.44,33225195.21,749.34,direct,,2016-11-22,0.2828631,0.0,0.0,72.46003847176871
11,1479859200,750.93,731.34,749.34,37869.33,28258203.98,741.07,direct,,2016-11-23,0.2423145,0.0,0.0,64.46947780311092
12,1479945600,744.24,726.19,741.07,37239.41,27531777.52,735.31,direct,,2016-11-24,0.3476959,0.0,0.0,59.5443143416097
13,1480032000,741.25,728.97,735.31,28846.87,21299510.69,740.39,direct,,2016-11-25,0.2368817,0.0,0.0,62.28116252750667
14,1480118400,740.96,725.62,740.39,22578.17,16682481.58,734.14,direct,,2016-11-26,0.2452093,0.0,0.0,57.157880691482454
15,1480204800,738.29,727.11,734.14,21354.15,15735824.63,729.42,direct,,2016-11-27,0.1780988,0.0,0.0,53.57370040851259
16,1480291200,738.1,727.74,729.42,34117.31,25153838.93,733.3,direct,,2016-11-28,0.2603422,0.0,0.0,56.01538165237559
17,1480377600,737.04,727.78,733.3,32567.83,24030304.1,732.56,direct,,2016-11-29,0.2317653,0.0,0.0,55.416762339557316
18,1480464000,745.39,730.57,732.56,39277.45,29210351.41,742.49,direct,,2016-11-30,0.2344038,0.0,0.0,61.38090150362326
19,1480550400,755.48,741.08,742.49,54029.19,40690942.17,752.63,direct,,2016-12-01,0.2013483,0.0,0.0,66.33364317668955
20,1480636800,779.02,752.25,752.63,63217.85,48893613.64,770.94,direct,,2016-12-02,0.1282991,0.0,734.3261904761905,73.05375960551287
21,1480723200,772.32,755.81,770.94,38445.54,30234128.1,764.24,direct,,2016-12-03,0.1411198,0.0,737.1819047619048,67.72642507535673
22,1480809600,769.23,758.8,764.24,19163.97,14755120.48,766.39,direct,,2016-12-04,0.1974788,0.0,740.2495238095238,68.51975501057883
23,1480896000,769.18,746.01,766.39,51164.97,39082688.28,754.34,direct,,2016-12-05,0.4084907,0.0,742.62,59.667074649136424
24,1480982400,762.48,750.91,754.34,33430.33,25497771.6,758.21,direct,,2016-12-06,0.4376716,0.0,744.8633333333333,61.39228358226887
25,1481068800,769.02,754.27,758.21,34864.8,26755412.58,765.56,direct,,2016-12-07,0.3531929,0.0,746.0671428571428,64.49822394958287
26,1481155200,773.41,761.17,765.56,28780.25,22208497.22,768.49,direct,,2016-12-08,0.4155978,0.0,747.5414285714286,65.6834141099149
27,1481241600,773.48,765.03,768.49,24176.98,18722048.47,770.48,direct,,2016-12-09,0.4389741,0.0,748.6614285714286,66.5013796678152
28,1481328000,776.96,769.19,770.48,18017.98,14049110.07,774.0,direct,,2016-12-10,0.6694281,0.0,749.9047619047619,67.95632774456926
29,1481414400,774.16,763.0,774.0,17140.02,13269086.38,767.91,direct,,2016-12-11,0.5888606,0.0,751.7809523809524,62.86871040684444
30,1481500800,781.26,767.86,767.91,28759.72,22442991.37,778.47,direct,,2016-12-12,0.4897097,0.0,753.7942857142857,67.42305787658397
31,1481587200,790.33,767.77,778.47,33108.65,25894856.06,778.74,direct,,2016-12-13,0.4076142,0.0,755.1942857142857,67.53270991246197
32,1481673600,780.77,771.01,778.74,24782.47,19326375.41,776.5,direct,,2016-12-14,0.4699062,0.0,756.8814285714286,65.5610975341695
33,1481760000,780.27,773.12,776.5,26224.24,20452116.66,775.21,direct,,2016-12-15,0.5176701,0.0,758.7814285714286,64.39512920710143
34,1481846400,783.94,773.31,775.21,27607.57,21650384.64,782.05,direct,,2016-12-16,0.6360847,0.0,760.765238095238,67.67756118332832
35,1481932800,791.57,779.36,782.05,23581.31,18648778.51,787.17,direct,,2016-12-17,0.5714045,0.0,763.2904761904762,69.91348378483053
36,1482019200,791.26,783.8,787.17,14532.68,11525747.48,789.01,direct,,2016-12-18,0.5024212,0.0,766.1280952380952,70.69796574497612
37,1482105600,793.73,786.31,789.01,25460.54,20238681.94,789.79,direct,,2016-12-19,0.3925479,0.0,768.8180952380952,71.04265775804072
38,1482192000,800.02,787.12,789.79,34480.19,27406319.09,799.1,direct,,2016-12-20,0.4236349,0.0,771.9866666666667,74.84611304529753
39,1482278400,833.13,795.98,799.1,65293.55,53411082.07,829.21,direct,,2016-12-21,0.4855606,0.0,776.1161904761905,82.74143764741893
40,1482364800,874.68,828.87,829.21,70557.59,60511618.45,860.15,direct,,2016-12-22,0.5058098,0.0,781.2361904761905,87.19067342266565
41,1482451200,920.26,858.04,860.15,102224.08,91802931.23,917.17,direct,,2016-12-23,0.3470947,0.0,788.1995238095237,91.52625777446292
42,1482537600,920.49,880.79,917.17,46030.07,41576781.41,891.07,direct,,2016-12-24,0.2778556,0.0,794.2390476190476,78.43892997831381
43,1482624000,895.24,851.42,891.07,42483.29,37173377.51,891.07,direct,,2016-12-25,0.2719927,0.0,800.1761904761905,78.43892997831382
44,1482710400,909.32,885.88,891.07,38787.58,35002753.4,898.38,direct,,2016-12-26,0.3284057,0.0,807.0352380952381,79.39591437513124
45,1482796800,937.91,893.38,898.38,49691.61,45966615.06,925.78,direct,,2016-12-27,0.4014138,0.0,815.0147619047618,82.52654116476569
46,1482883200,974.51,925.49,925.78,77285.8,73811803.99,972.17,direct,,2016-12-28,0.3713932,0.0,824.8533333333332,86.31717761102853
47,1482969600,982.57,949.23,972.17,61124.62,59226667.89,971.08,direct,,2016-12-29,0.3276097,0.0,834.5004761904763,85.84594013342189
48,1483056000,971.59,927.4,971.08,70839.81,67449149.3,959.04,direct,,2016-12-30,0.2878064,0.0,843.4795238095238,80.6108884756681
49,1483142400,965.47,942.4,959.04,27559.31,26379401.89,963.38,direct,,2016-12-31,0.2424562,0.0,852.4976190476189,81.05926812460513
